序号,年,月,日,新总面积,新住宅数,新住宅面积,旧总面积,旧住宅数,旧住宅面积,,,
190,2022,4,4,6818.73,7,764.6,,,,,,
191,2022,4,3,11584.57,4,454.94,,,,,,
192,2022,4,2,124966.73,457,56243.83,62194.38,581,56983.03,,,
193,2022,4,1,85393.03,427,51826.04,48808.41,473,43126.69,,,
194,2022,3,31,103631.95,521,62555.21,61850.02,595,54412.37,,,
195,2022,3,30,88103.19,550,68663.77,62476.46,642,58145.01,,,
196,2022,3,29,81196.95,461,57311.01,62419.15,600,54976.29,,,
197,2022,3,28,100577.29,494,100577.29,69232.27,686,62067.55,,,
198,2022,3,27,14036.48,5,519.68,,,,,,
199,2022,3,26,9691.84,12,1421.91,8158.2,84,7332.39,,,
200,2022,3,25,173717.02,576,73823.77,77943.25,620,56350.23,,,
201,2022,3,24,111996.93,603,78261.44,60299.36,593,54394.5,,,
202,2022,3,23,104803.13,496,63374.76,65016.07,604,55692.73,,,
203,2022,3,22,108704.02,542,69328.29,58779.32,542,49084.96,,,
204,2022,3,21,106174.81,564,74219.88,71916.46,750,65851.16,,,
205,2022,3,20,12700.84,14,1596.49,,,,,,
206,2022,3,19,23970.63,125,14156.07,8889.57,78,7013.15,,,
207,2022,3,18,90077.17,432,54405.46,60975.27,597,55319.84,,,
208,2022,3,16,76880.42,420,51749.82,57146.96,577,52149.29,,,
209,2022,3,15,120392.87,427,54531.98,68592.03,608,58296.31,,,
210,2022,3,14,104641.48,547,68757.42,68116.2,657,58260.07,,,
211,2022,3,13,12678.58,4,418.58,,,,,,
212,2022,3,12,10253.78,15,1635.25,8001.05,77,7300.83,,,
213,2022,3,11,129407.42,823,101111.32,70204.01,615,56507.96,,,
214,2022,3,10,106841.52,606,73526.23,67786.61,597,55708.97,,,
215,2022,3,9,109675.24,661,83571.85,54484.18,532,48801.14,,,
216,2022,3,8,67460.41,342,44314.21,51508.45,488,45302.19,,,
217,2022,3,7,120767.68,663,87827.01,65855.16,627,57680.43,,,
218,2022,3,6,19815.79,11,1565.63,,,,,,
219,2022,3,5,19153.85,18,1786.73,9168.44,87,8109.49,,,
220,2022,3,4,120939.79,723,99292.53,54730.34,532,48660.35,,,
221,2022,3,3,127359.68,728,94410.43,55873.27,528,49221.46,,,
222,2022,3,2,124868.61,743,96419.95,50652.63,481,44557.51,,,
223,2022,3,1,92344.22,496,63347.28,45226.48,444,40996.66,,,
224,2022,2,28,135249.97,795,101809.8,63233.24,578,51823.5,,,
225,2022,2,27,9049.69,13,1379.95,,,,,,
226,2022,2,26,13806.8,20,2079.96,6133.29,54,5263.45,,,
227,2022,2,25,93814.23,552,71483.06,49372.1,478,43773.44,,,
228,2022,2,24,166966.29,776,102520.54,48652.14,473,41833.78,,,
229,2022,2,23,85709.36,553,65491.03,51984.26,486,342569.06,,,
230,2022,2,22,113690.38,591,75731.5,47826.37,425,39446.15,,,
231,2022,2,21,129930.03,777,100795.84,62687.32,591,54937.35,,,
232,2022,2,20,28712.55,16,1770.15,,,,,,
233,2022,2,19,27128.64,10,1144.76,6754.02,59,6155.97,,,
234,2022,2,18,107465.51,640,81230.98,49468.19,465,43453.09,,,
235,2022,2,17,114613.61,671,87650.94,58752.95,447,49865.72,,,
236,2022,2,16,115630.2,757,96875.68,46943.12,443,40081.16,,,
237,2022,2,15,91233.64,548,71326.36,44502.43,411,37725.68,,,
238,2022,2,14,121820.86,813,103275.7,59649.27,538,51026.43,,,
239,2022,2,13,11198.21,18,1973.53,,,,,,
240,2022,2,12,8664.87,11,1118.55,6954.59,62,5844.47,,,
241,2022,2,11,98599.16,605,79412.59,43420.18,413,38797.18,,,
242,2022,2,10,78598.37,523,64605.14,42862.52,416,39176.16,,,
243,2022,2,9,99823.26,597,85124.26,42592.85,431,39366.18,,,
244,2022,2,8,101479.02,543,83051.02,38042.3,364,35090.23,,,
245,2022,2,7,48714.72,313,40984.55,19057.8,181,17223.33,,,
246,2022,2,6,4438.91,10,1010.14,0,0,0,,,
247,2022,2,5,338.65,1,87.33,0,0,0,,,
248,2022,2,4,1867.4,3,376.89,0,0,0,,,
249,2022,2,2,127.79,0,0,0,0,0,,,
250,2022,2,1,116.29,0,0,0,0,0,,,
251,2022,1,30,24329.59,122,15217.88,10519.67,108,9743.06,,,
252,2022,1,28,129601,500,63486.54,25214.04,237,22447.55,,,
253,2022,1,27,101887.99,602,76002.59,35317.31,283,27338.36,,,
254,2022,1,26,110939.08,604,76002.59,44909.36,396,38080.9,,,
255,2022,1,25,131004.22,753,95091.03,54117.61,456,45049.2,,,
256,2022,1,24,146698.65,855,111405,68636.03,645,59610.84,,,
257,2022,1,23,10765.81,15,1333.54,,,,,,
258,2022,1,22,18933.16,62,6497.63,5730.4,53,5129.41,,,
