序号,年,月,日,新总面积,新住宅数,新住宅面积,旧总面积,旧住宅数,旧住宅面积,,,
811,2020,6,8,181253.36,1158,143428.55,29841.85,260,25845.2,,,
812,2020,6,7,16015.37,33,3758.81,,,,,,
813,2020,6,6,20736.88,48,5112.11,10705.78,54,6094.59,,,
814,2020,6,5,182191.18,1280,157167.61,29115.03,226,22264.09,,,
815,2020,6,4,164502.47,1206,139051.8,29329.36,258,25228.87,,,
816,2020,6,3,156635.24,1083,132712.7,36078.37,261,25141.61,,,
817,2020,6,2,146277.47,981,116645.78,31427.35,255,25761.93,,,
818,2020,6,1,105992.83,669,78674.63,36414.19,272,25948.85,,,
819,2020,5,31,18106.86,53,5729.87,,,,,,
820,2020,5,30,21537.38,98,10962.46,6044.63,60,5657.86,,,
821,2020,5,29,142169.63,785,88908.66,29897.05,249,24511.83,,,
822,2020,5,28,154118.08,1065,119111.01,29332.92,248,23235.69,,,
823,2020,5,27,170618.68,1172,137081.3,26636.32,243,23187,,,
824,2020,5,26,151429.15,1017,122688.45,29830.99,277,25680.93,,,
825,2020,5,25,132564.38,783,95935.41,28350.48,232,23750.61,,,
826,2020,5,24,9537.8,21,2135.15,,,,,,
827,2020,5,23,15928.78,51,5560.21,4831.4,46,4367.32,,,
828,2020,5,22,155359.74,1012,115286.34,31928.4,287,28483.4,,,
829,2020,5,21,178609.86,1150,131863.2,32995.4,273,28093.34,,,
830,2020,5,20,163894.68,1033,124379.01,64220.91,238,23611.88,,,
831,2020,5,19,136581.59,794,90340.63,36527.29,272,26652.43,,,
832,2020,5,18,157825.64,1035,125885.15,54416.04,302,29730.12,,,
833,2020,5,17,15186,42,4517.44,,,,,,
834,2020,5,16,23542.7,77,8268.38,5258.63,52,5112.93,,,
835,2020,5,15,129065.46,763,93409.01,31697.85,274,27239.91,,,
836,2020,5,14,134128.08,753,91278.1,28013.89,232,23164.72,,,
837,2020,5,13,148698.79,707,86457.58,25108.25,231,22604.48,,,
838,2020,5,12,144534.42,956,112103.9,26844.68,249,24410.09,,,
839,2020,5,11,127977.34,820,93579.89,29606.22,258,24796.5,,,
840,2020,5,10,18970.45,90,8429.31,,,,,,
841,2020,5,9,118513.7,743,86680.64,20714.04,199,18038.52,,,
842,2020,5,8,91034.3,511,60711.93,27014.74,237,22124.21,,,
843,2020,5,7,141416.54,816,100502.36,36452.06,243,23170.34,,,
844,2020,5,6,144534.42,956,112103.9,26844.68,249,24410.09,,,
845,2020,5,5,13857.03,49,5456.07,0,,,,,
846,2020,5,3,8748.79,25,2730.16,,,,,,
847,2020,5,2,11535.54,38,4347.52,,,,,,
848,2020,5,1,9784.73,27,2834.17,,,,,,
849,2020,4,30,82867.82,445,50355.55,23618.17,206,20800.54,,,
850,2020,4,29,120056.83,779,88142.38,28065.74,265,25060.88,,,
851,2020,4,28,114118.89,712,86243.05,26941.13,234,22834.84,,,
852,2020,4,27,76176.54,409,47846.69,29560.16,260,25487.58,,,
853,2020,4,26,119556.81,829,96340.08,25764.04,241,22714.68,,,
854,2020,4,25,39796.76,258,27482.24,0,,,,,
855,2020,4,24,101149.93,575,70036.63,30713.68,236,24771.59,,,
856,2020,4,23,111859.68,758,91491.14,27747.38,257,23349.66,,,
857,2020,4,22,110337.53,707,82359.95,30956.69,229,22625.95,,,
858,2020,4,21,111298.87,646,36622.37,33893.56,280,28365.17,,,
859,2020,4,20,162138.92,1094,134958.87,36014.59,245,22975.16,,,
860,2020,4,19,32667.03,227,25323.85,,,,,,
861,2020,4,18,22444.48,100,11043.62,6257.58,54,5621.81,,,
862,2020,4,17,119231.89,705,84640.88,37664.06,348,33310.21,,,
863,2020,4,16,109108.14,631,76266.47,30865.92,230,23066.5,,,
864,2020,4,15,180374.12,1111,147933.19,29304.67,236,23072.06,,,
865,2020,4,14,111832.43,642,82964.63,45441.05,248,22635.98,,,
866,2020,4,13,172889.77,1156,147766.26,33327.77,263,25596.93,,,
867,2020,4,12,12193.03,41,4357.79,,,,,,
868,2020,4,11,31787.13,195,23842.46,6428.16,58,5912.76,,,
869,2020,4,10,120458.9,829,97240.51,21262.79,176,17165.74,,,
870,2020,4,9,87199.27,468,55394.32,28138.1,228,23078.58,,,
871,2020,4,8,133967.77,911,102424.46,31037.07,246,23391.47,,,
872,2020,4,7,87038.2,529,64025.92,26742.54,251,23903.84,,,
873,2020,4,6,10721.57,40,4091.87,,,,,,
874,2020,4,5,5007.36,16,1846.09,,,,,,
875,2020,4,4,9847.68,23,2506.5,,,,,,
876,2020,4,3,127683.37,491,58098.61,23722.62,219,20955.04,,,
877,2020,4,2,78816.98,459,54203.55,22578.22,200,18951.15,,,
878,2020,4,1,61441.18,274,31445.85,19492.99,170,16915.18,,,
879,2020,3,31,75297.83,387,42734.15,19342.69,167,15371.05,,,
880,2020,3,30,76952.87,503,58093.16,25859.23,225,21397.89,,,
881,2020,3,29,13583.72,36,4292.6,,,,,,
882,2020,3,29,13583.72,36,4292.6,0,,,,,
883,2020,3,28,21370.14,81,9378.21,3844.38,38,3604.06,,,
884,2020,3,27,102966.91,579,70532.76,43543.93,199,18545.25,,,
885,2020,3,26,101723.74,543,64522.1,36545.39,161,15435.7,,,
886,2020,3,25,91963.55,531,65889.75,21909.47,209,19490.55,,,
887,2020,3,24,95445.03,562,70670.4,21246.96,196,18691.74,,,
888,2020,3,23,100764.88,645,82025.79,20678.11,183,17141.03,,,
889,2020,3,20,100764.88,654,82025.79,16112.15,147,14075.91,,,
890,2020,3,19,91581.42,562,68744.74,14718.92,110,10348.28,,,
891,2020,3,18,99943.46,632,75568.82,21984.69,135,13020.71,,,
892,2020,3,17,107230.93,680,81644.29,19439.73,168,17107.18,,,
893,2020,3,16,126541.46,815,101726.47,24575.5,161,14902.97,,,
894,2020,3,15,10205.65,36,3886.13,,,,,,
895,2020,3,14,19426.24,97,10126.59,2885.96,29,2740.53,,,
896,2020,3,13,92460.69,623,71681.25,17553.2,150,13697.6,,,
897,2020,3,12,93607.98,677,78252.92,12801.4,90,8816.3,,,
898,2020,3,11,103836.79,731,84584.17,13633.49,121,12141.85,,,
899,2020,3,10,84402.64,603,70143.9,26474.53,127,11637.36,,,
900,2020,3,9,150378.28,1045,125229.01,14667.54,131,12146.84,,,
901,2020,3,8,9730.97,30,3289.21,,,,,,
902,2020,3,7,22816.11,107,12536.2,2645.46,24,2645.46,,,
903,2020,3,6,64855.2,460,53329.77,11127.1,105,10048.59,,,
904,2020,3,5,104253.95,776,88897.38,15745.36,134,12589.95,,,
905,2020,3,4,77498.03,489,54326.68,10176.06,101,8759.46,,,
906,2020,3,3,80759.74,552,62158.86,16434.02,119,10977.47,,,
907,2020,3,2,87945.55,543,66774.41,13276.58,118,12101.06,,,
908,2020,3,1,13689.84,27,2560.55,,,,,,
909,2020,2,29,16449.74,70,7861.82,1552.08,14,1450.23,,,
910,2020,2,28,75052.06,437,54953.09,8897.99,87,8072.84,,,
911,2020,2,26,67193.72,413,50677.32,10610.92,92,9046.64,,,
912,2020,2,26,74874.01,474,58000.95,4666.38,40,3889.92,,,
913,2020,2,25,75627.71,566,64912.32,8174.26,76,7060.76,,,
914,2020,2,24,75400.08,546,66910.27,6387.2,56,5977.81,,,
915,2020,2,23,5206.22,19,2075.28,,,,,,
916,2020,2,22,36692.49,318,35531.15,434.06,6,434.06,,,
917,2020,2,21,27333.84,221,25303.51,3942.82,40,3578.21,,,
918,2020,2,20,49220.11,419,46839.79,4637.63,36,3707.99,,,
919,2020,2,7,11724.37,84,9838.81,2117.96,21,1889.52,,,
920,2020,2,6,17865.98,142,16691.01,2541.17,22,2457.36,,,
921,2020,2,5,20513.7,151,19745.71,1324.46,12,1304.45,,,
922,2020,2,4,17656.42,138,15634.07,2202.33,22,1987.34,,,
923,2020,2,3,7702.56,24,3185.57,3215.16,27,3028.91,,,
924,2020,1,23,24898.11,173,23358.74,5494.36,59,5340.51,,,
925,2020,1,22,77526.97,497,61360.16,13042.11,116,10883.99,,,
926,2020,1,20,126514.14,820,107569.94,33938.16,222,22173.89,,,
927,2020,1,19,144799.29,814,116710.33,38724.39,337,33656.39,,,
928,2020,1,18,26211.66,102,11069.99,2140.34,20,1967.46,,,
929,2020,1,17,139131.64,758,101256.06,40638.37,366,35657.23,,,
930,2020,1,16,154185.79,1000,128795.35,50721.92,395,38650.32,,,
931,2020,1,15,144415.06,916,115198.03,37161.82,342,32866.06,,,
932,2020,1,14,215997.14,1242,155228.04,46644.48,410,39178.57,,,
933,2020,1,13,156208.89,889,127645.9,54852.31,501,48080.44,,,
934,2020,1,12,19963.79,47,5171.59,1967.04,18,1865.58,,,
935,2020,1,11,28744.11,91,10765,14026.97,125,12241.16,,,
936,2020,1,9,112255.36,621,73285.68,51105.94,447,42999.1,,,
937,2020,1,3,158844.76,896,111893.37,44332.68,430,40879.16,,,
938,2020,1,2,141170.04,843,102552.25,48527.92,412,39603.63,,,
939,2020,1,1,16231.85,76,8945.55,969.25,9,897.26,,,
